"Station Name","Station Number","River","Aquatic Model Index","Water Body Id","Water Code","Station Type","Quadi","Township","Range","Section","Quarter Section","Grid","Station Quad","Rw Watershed","Wqcc Watershed","Hydro Unit8","Eco Region","Elevation","Watershed Report","Longitude","Latitude","County","State","Near City","Move","Description","Utmx","Utmy","Region","Comments","Usgs","State Engineering"
"Ophir Br",3304,"Mineral Cr","SJ2900","COSJAF08","42076 - MINERAL CREEK","Chemical",,"42N","8W","34","SESE","G6","Silverton","San Juan","Animas, Florida","14080104","S Rockies Cool and Moist Forests of the Middle to",9947,"Animas",-107.727,37.8492,"San Juan","Colorado","Chatanooga","NAD83",,260068,4192586,"13N","used to be sta318 - combined with and changed to sta3304.  3/21/14 - BS moved fr 4192569/260153 to put on water.
Aq. Index > 200m","Yes","No"
"MC5",3318,"Mosquito Cr","SP1098","COSPUS02B","30445 - MOSQUITO CREEK","Chemical",,"9S","78W","13","NESE","C1","Alma","South Platte","Upper South Platte","10190001","S Rockies High Elevation Tundra",10255,"S Platte Tribs not in list,N Platte Main and Tribs",-106.0549,39.2698,"Park","Colorado","Alma Junction","NAD83",,409005,4347249,"13N","used to be sta336 - combined with and changed to sta3318.  5/9/15 - BS moved from 408969/4347070 to put on water.","Yes","No"
"Sta1-5",3328,"Kerznets",,,,"Chemical",,,,,,,,,,,,0,,-9,-9,,,,"Nolatlongs",,-9,-9,,"Site in Russia - No lat/long available - used to be sta327 - changed to sta3328","Yes","Yes"
"Sta1-5",3329,"Volga",,,,"Chemical",,,,,,,,,,,,0,,-9,-9,,,,"Nolatlongs",,-9,-9,,"Site in Russia - No lat/long available - used to be sta327 - changed to sta3329","Yes","Yes"
"Dewey Br, Utah",3336,"Colorado",,,,"Chemical",,,,,,,,"Colorado",,,,0,,-9,-9,,"Utah",,"Nolatlongs",,-9,-9,"12N","Site in Utah - no lat/long available","Yes","Yes"
"Moab Br, Utah",3337,"Colorado",,,,"Chemical",,,,,,,,"Colorado",,,,0,,-9,-9,,"Utah","Moab","Nolatlongs",,-9,-9,"12N","Site in Utah - no lat/long available","Yes","Yes"
"Harvestscene",3339,,,,,"Chemical","Q-21",,,,,"A5","Independence Pass","Colorado",,"14010004","S Rockies Cool and Moist Forests of the Middle to",0,"Roaring Fork",-9,-9,"Pitkin","Colorado","Aspen","Nolatlongs",,-9,-9,"13N","No lat long available","Yes","Yes"
"Water Canyon",3340,,,,,"Chemical","Q-21",,,,,"A5","Independence Pass","Colorado",,"14010004","S Rockies Cool and Moist Forests of the Middle to",0,"Roaring Fork",-9,-9,"Pitkin","Colorado","Aspen","Nolatlongs",,-9,-9,"13N","No lat long available","Yes","Yes"
"Water Canyon Falls",3341,,,,,"Chemical",,,,,,"B7","Aspen","Colorado",,"14010004","S Rockies Cool and Moist Forests of the Middle to",0,"Roaring Fork",-9,-9,"Pitkin","Colorado","Aspen","Nolatlongs",,-9,-9,"13N","No lat/long available","Yes","Yes"
"Spanish Bottom",3342,,,,,"Chemical",,,,,,,,"Colorado",,,,0,"Roaring Fork",-9,-9,"Pitkin","Colorado","Aspen","Nolatlongs",,-9,-9,"13N","No lat/long available","Yes","Yes"
"Amax Pond",3343,,,,,"Chemical",,,,,,"A4","Kremmling","Colorado",,"14010001","S Rockies Warm and Dry Forests of the Middle to Lo",0,"Upper Colorado (Source to Eagle conf)",-9,-9,"Grand","Colorado","Kremmling","Nolatlongs",,-9,-9,"13N","No lat/long available","Yes","Yes"
"Abv Conf Wightman Fk",3353,"Pipeline Cr","RG1723","CORGAL05","38593 - PIPELINE CR (local name)","Chemical",,"37N","3E","24","SESE","D4","Jasper","Rio Grande","Alamosa, La Jara, Conejos","13010002","NM AZ Shrublands",11480,"Rio Grande Tribs",-106.60841,37.4328,"Rio Grande","Colorado","Jasper","NAD83",,357700,4144100,"13N","used to be sta331 - combined with and changed to sta3353.  7/29/16 - BS moved fr WBID CORGAL02.","Yes","Yes"
"Above Wightman Fk",3359,"Alamosa","RG0576","CORGAL03A","37944 - ALAMOSA RIVER #3","Chemical",,"37N","4E","35","SWSE","D5","Summitville","Rio Grande","Alamosa, La Jara, Conejos","13010002","S Rockies Cool and Moist Forests of the Middle to",9391,"Rio Grande Tribs",-106.52159,37.403808,"Rio Grande","Colorado","Jasper","NAD83",,365330,4140756,"13N","AQ Index <400 Feet
used to be sta331 - combined with and changed to sta3359, same as 4199","Yes","No"
"Stunner Br",3361,"Alamosa","RG0071","CORGAL02","37944 - ALAMOSA RIVER #3","Chemical",,,,,,"D5","Summitville","Rio Grande","Alamosa, La Jara, Conejos","13010002","S Rockies Cool and Moist Forests of the Middle to",9759,"Rio Grande Tribs",-106.56782,37.38167,"Conejos","Colorado","Jasper","NAD83",,361197,4138366,"13N","used to be sta331 - combined with and changed to sta3361","Yes","No"
"Old WS",3370,"E Willow Cr",,"CORGRG06","44103 - WILLOW CREEK, EAST","Chemical",,,,,,"H8","San Luis Peak","Rio Grande","Rio Grande","13010001","S Rockies Low to Middle Elevation Semi-Desert Shru",0,"Rio Grande Tribs",-9,-9,"Mineral","Colorado","Creede","Nolatlongs",,-9,-9,"13N","No lat/long available.  8/30/16 - BS moved fr WBID CORGRG07.","Yes","Yes"
"Julesburg",3388,"S Platte","SP0349","COSPLS01","12663 - SOUTH PLATTE R #13","Sandy Substrate",,"12N","44W","33","NENE","H3","Julesburg","South Platte","Lower South Platte","10190018","W High Plains Flat to Rolling Cropland",3451,"Lower S Platte (blw Brighton)",-102.2535,40.9796,"Sedgwick","Colorado","Julesburg","NAD83",,731065,4540129,"13N","Used to be sta353 - combined with and changed to sta3388/Greg Cruger Virtual Reality Website http://www.eocities.com/rivertal
Aq. Index > 200m","Yes","No"
"Tamarack",3389,"S Platte",,"COSPLS01","12651 - SOUTH PLATTE R #12","Chemical",,,,,,"H3","Julesburg","South Platte","Lower South Platte","10190012","W High Plains Flat to Rolling Cropland",0,"Lower S Platte (blw Brighton)",-9,-9,"Sedgwick","Colorado","Julesburg","Nolatlongs",,-9,-9,"13N","no lat/long available - Used to be sta353 - combined with and changed to sta3389","Yes","Yes"
"W May Valley Ditch",3396,"Arkansas",,"COARLA01C","28957 - ARKANSAS R #1","Chemical",,,,,,"A1","Holly East","Arkansas","Lower Arkansas","11020009","SW Tablelands Grasslands",3720,"Lower Arkansas",-102.612357,38.172077,"Prowers","Colorado","Lamar","NAD83","Above E May Valley Ditch, around PP Road South of May Valley",709152.33,4227601.79,"13S","Lat/Long estimated - Used to be sta355 - combined with and changed to sta3396, ditch that drains into canal into Arkansas","Yes","Yes"
"South of Hays, KS",3420,"Smokey Hill",,,,"Chemical",,,,,,,,,,,,0,,-9,-9,,"Kansas","Hays","Nolatlongs",,-9,-9,"13N","No lat/long available - site in Kansas - used to be sta365 - combined with and changed to sta3420","Yes","Yes"
"S of Kansas Saline River",3421,"Unnamed Cr",,,,"Chemical",,,,,,,,,,,,0,,-9,-9,,"Kansas",,"Nolatlongs",,-9,-9,"13N","No lat/long available - site in Kansas - used to be sta365 - combined with and changed to sta3421","Yes","Yes"
"May Valley",3422,"Arkansas",,"COARLA01C","28957 - ARKANSAS R #1","Chemical",,,,,,"B5","May Valley","Arkansas","Lower Arkansas","11020009","SW Tablelands Grasslands",0,"Lower Arkansas",-9,-9,"Prowers","Colorado","May Valley","Nolatlongs",,-9,-9,"13N","No lat/long available - used to be sta365 - combined with and changed to sta3422","Yes","Yes"
"Abv Conf San Juan",3426,"Animas",,,,"Chemical",,,,,,,,"San Juan",,"14080104",,0,"Animas",-9,-9,"San Juan","New Mexico","Farmington","Nolatlongs",,-9,-9,"13N","No lat/long available - Used to be sta376 - combined with and changed to sta3426","Yes","Yes"
"Below Mineral Cr",3448,"Animas","SJ0060","COSJAF04A","38009 - ANIMAS RIVER #3","Chemical",,"41N","7W","29","NWNW","G6","Silverton","San Juan","Animas, Florida","14080104","S Rockies Cool and Moist Forests of the Middle to",9197,"Animas",-107.6679,37.7889,"San Juan","Colorado","Silverton","NAD83",,265077,4185749,"13N","used to be sta376 - combined with and changed to sta3448.  3/20/14 - BS moved fr 4185743/265095 to put on water.","Yes","No"
"Above Cement Cr",3449,"Animas","SJ0017","COSJAF03A","38011 - ANIMAS RIVER #4","Chemical",,"41N","7W","17","SENW","G6","Silverton","San Juan","Animas, Florida","14080104","S Rockies Cool and Moist Forests of the Middle to",9285,"Animas",-107.6603,37.8095,"San Juan","Colorado","Silverton","NAD83",,265813,4188018,"13N","used to be sta376 - combined with and changed to sta3449.  3/19/14 - BS moved fr 4187967/265891 to put on water abv Cement Cr.","Yes","No"
"Above Cunningham Cr",3453,"Animas","SJ0867","COSJAF03A","38011 - ANIMAS RIVER #4","Chemical",,"41N","7W","2","SESE","G5","Howardsville","San Juan","Animas, Florida","14080104","S Rockies High Elevation Tundra",9649,"Animas",-107.5976,37.83661,"San Juan","Colorado","Silverton","NAD83",,271413,4190866,"13N","AQ Index <400 Feet
used to be sta376 - combined with and changed to sta3453. 3/19/14 - BS moved fr 4190661/271416 to put on water abv Cunningham Cr.","Yes","No"
"Pool",3496,"Horse Cr","AR0111","COARLA09B","33504 - HORSE CREEK","Sandy Substrate",,"21S","56W","12","NWSW","G6","Punkin Center","Arkansas","Lower Arkansas","11020008","SW Tablelands Grasslands",4280,"Lower Arkansas Tribs",-103.6351594,38.237831,"Crowley","Colorado","Punkin Center","NAD83",,619444,4233084,"13N","Aq. Index NULL","Yes","No"
"Pool",3499,"Bitter Lake #5",,,,"Chemical",,,,,,,,,,,,0,,-9,-9,,"New Mexico",,"Nolatlongs",,,,,"Location unavailable","Yes","Yes"
"Beaver",3502,"Beaver",,,,"Chemical",,,,,,,,,,,,0,,-9,-9,,"Oklahoma",,"Nolatlongs",,-9,-9,,"Location unavailable","Yes","Yes"
"Pool",3503,"Cimarron",,,,"Chemical",,,,,,"D5","Cimarron",,,"11040008",,0,,-99.97651662,36.97697372,,"Oklahoma",,"NAD83",,947264,4104129,"14N",,"Yes","Yes"
"Cimarron",3504,"Cimarron",,,,"Chemical",,,,,,,,,,"11050001",,0,,-99.11637047,36.75246372,,"Oklahoma",,"NAD83",,1025458,4083589,"14N",,"Yes","Yes"
"Chikiskia",3505,"Chikiskia",,,,"Chemical",,,,,,,,,,"11060005",,0,,-98.20842848,37.44275477,,"Kansas",,"NAD83",,1101134,4165709,"14N",,"Yes","Yes"
"S Fk Ninnescah",3506,"S Fk Ninnescah",,,,"Chemical",,,,,,,,,,"11030015",,0,,-98.11207396,37.63942862,,"Kansas",,"NAD83",,1108064,4188192,"14N",,"Yes","Yes"
"Mule Cr",3507,"Mule Cr",,,,"Chemical",,,,,,,,,,,,0,,-99.0432,37.2792402,,"Kansas",,"Out of State",,496170,4125851,"14N",,"Yes","Yes"
"Ball Cr",3508,"Ball Cr",,,,"Chemical",,,,,,,,,,,,0,,-9,-9,,"Nebraska",,"Nolatlongs",,-9,-9,,"Location unavailable","Yes","Yes"
"W Sandy Cr",3509,"W Sandy Cr",,,,"Chemical",,,,,,,,,,,,0,,-9,-9,,"Kansas",,"Nolatlongs",,-9,-9,,"Location unavailable","Yes","Yes"
"Batchelor Cr",3510,"Batchelor Cr",,,,"Chemical",,,,,,,,,,,,0,,-9,-9,,"Kansas",,"Nolatlongs",,-9,-9,,"Location unavailable","Yes","Yes"
"W Branch Bluff Cr",3511,"W Bluff Cr",,,,"Chemical",,,,,,,,,,,,0,,-9,-9,,"Kansas",,"Nolatlongs",,-9,-9,,"Location unavailable","Yes","Yes"
"Main Branch Bluff Cr",3512,"Bluff Cr",,,,"Chemical",,,,,,,,,,,,0,,-9,-9,,"Kansas",,"Nolatlongs",,-9,-9,,"Location unavailable","Yes","Yes"
"Spring Cr",3513,"Spring Cr",,,,"Chemical",,,,,,,,,,,,0,,-9,-9,,"Kansas",,"Nolatlongs",,-9,-9,,"Location unavailable","Yes","Yes"
"Sand Cr",3514,"Sand Cr",,,,"Chemical",,,,,,,,,,,,0,,-9,-9,,"Colorado",,"Nolatlongs",,-9,-9,,"Location unavailable","Yes","Yes"
"Cimarron",3515,"Cimarron",,,,"Chemical",,,,,,,,,,,,0,,-9,-9,,"New Mexico",,"Nolatlongs",,-9,-9,,"Location unavailable","Yes","Yes"
"Canadian",3516,"Canadian",,,,"Chemical",,,,,,,,,,,,0,,-9,-9,,"Texas",,"Nolatlongs",,-9,-9,,"Location unavailable","Yes","Yes"
"N FK Red",3517,"N Fk Red",,,,"Chemical",,,,,,,,,,"11120302",,2400,,-100.2417113,35.26316951,,"Texas",,"NAD83",,932974,3912622,"14N",,"Yes","Yes"
"Salt Fk Red",3518,"Salt Fk Red",,,,"Chemical",,,,,,,,,,"11120202",,1700,,-100.222259,34.95635636,,"Texas",,"NAD83",,936383,3878642,"14N",,"Yes","Yes"
"Pease",3519,"Pease",,,,"Chemical",,,,,,,,,,"11130105",,1000,,-99.73024223,34.09128433,,"Texas",,"NAD83",,986386,3784836,"14N",,"Yes","Yes"
"Prairie Dog Town Fk",3520,"Red",,,,"Chemical",,,,,,,,,,,,0,,-9,-9,,"Texas",,"Nolatlongs",,-9,-9,,"Location unavailable","Yes","Yes"
"Double Mtn Fk",3521,"Brazos",,,,"Chemical",,,,,,,,,,"12050004",,2000,,-99.95830223,33.1857198,,"Texas",,"NAD83",,970230,3683218,"14N",,"Yes","Yes"
"Salt Fk",3522,"Brazos",,,,"Chemical",,,,,,,,,,"12050007",,1900,,-100.6338359,33.1646391,,"Texas",,"NAD83",,907269,3678038,"14N",,"Yes","Yes"
"Pecos 2",3524,"Pecos",,,,"Chemical",,,,,,,,,,,,0,,-9,-9,,"Texas",,"Nolatlongs",,-9,-9,,"Location unavailable","Yes","Yes"
"Conf N and S Forks",3558,"S Platte",,"COSPUS06A","11837 - SOUTH PLATTE R # 4","Chemical",,"7S","70W","25","SESE","D2","Platte Canyon","South Platte","Upper South Platte","10190002","S Rockies Warm and Dry Forests of the Middle to Lo",6083,"Upper S Platte (Source to Waterton Canyon)",-105.1661,39.4087,"Jefferson","Colorado","Deckers","NAD83",,485702,4362144,"13N","Greg Cruger Virtual Reality Website http://www.eocities.com/rivertalkhome/index.html","Yes","No"
"Kersey",3563,"S Platte","SP1695","COSPMS01B","13336 - SOUTH PLATTE R #11","Sandy Substrate","F37","5N","64W","9","SWSW","D5","Kersey","South Platte","Middle South Platte","10190003","W High Plains Rolling Sand Plains",4577,"Middle S Platte (blw Denver to Fort Lupton)",-104.5632,40.4119,"Weld","Colorado","Kersey","NAD83",,537058,4473570,"13N","Greg Cruger Virtual Reality Website http://www.eocities.com/rivertalkhome/index.html
Aq. Index > 200m","Yes","No"
"Ft Morgan",3564,"S Platte","SP0367","COSPLS01","12651 - SOUTH PLATTE R #12","Sandy Substrate",,"4N","57W","25","SENE","C7","Fort Morgan","South Platte","Lower South Platte","10190012","W High Plains Flat to Rolling Cropland",4265,"Middle S Platte (blw Denver to Fort Lupton)",-103.8017087,40.26868472,"Morgan","Colorado","Fort Morgan","NAD83",,601885,4458268,"13N","AQ Index <400 Feet
Greg Cruger Virtual Reality Website http://www.eocities.com/rivertalkhome/index.html","Yes","No"
"Pool",3578,"Palo Dura Cr",,,,"Chemical",,,,,,,,,,"11100104",,0,,-101.0163142,36.61201466,,"Oklahoma",,"NAD83",,856329,4059228,"14N","was station 3501 - changed","Yes","Yes"
"Abv Canyon Cr",3581,"Uncompahgre","GU2169","COGUUN03A","46931 - UNCOMPAHGRE R #4","Chemical",,"44N","7W","31","SWNW","A6","Ouray","Gunnison","Uncompahgre","14020006","S Rockies High Elevation Tundra",7758,"Uncompahgre",-107.6762,38.0192,"Ouray","Colorado","Ouray","NAD83","From US Hwy 550 within town of Ouray, turn west onto 3rd Ave and proceed 3 blks to Box Canyon Rd (possibly Box Canyon Falls Rd).  Continue up this road until can sample Unc on your left, not that far. ",265074,4211326,"13N","Heidi Luter intern study - same as Ouray HS 504, merged as 3581.  3/18/16 - BS moved fr 265091.08/4211235.86 to put on water per Desc.","Yes","No"
"Abv Conf Uncompahgre",3585,"Oak Cr","GU2169","COGUUN05","38327 - OAK CREEK","Chemical",,"44N","7W","31",,"A6","Ouray","Gunnison","Uncompahgre","14020006","S Rockies Cool and Moist Forests of the Middle to",7778,"Uncompahgre",-107.6763,38.0201,"Ouray","Colorado","Ouray","NAD83","From US Hwy 550 within town of Ouray, turn west onto 3rd Ave and proceed 3 blks to Box Canyon Rd (possibly Box Canyon Falls Rd).  Park near this intersection and walk across bridge just to the west.  Continue on trail until you reach Canyon Creek and Oak Cr, they are 50' apart, sample on Oak Cr abv conf.",265071,4211421,"13N","Heidi Luter intern study-same as Ouray HS 505 merged as 3585","Yes","No"
"USGS Gauge",3586,"Uncompahgre","GU4146","COGUUN03B","46931 - UNCOMPAHGRE R #4","Chemical",,"44N","8W","25","SENE","A6","Ouray","Gunnison","Uncompahgre","14020006","S Rockies Warm and Dry Forests of the Middle to Lo",7631,"Uncompahgre",-107.6789,38.0359,"Ouray","Colorado","Ouray","NAD83","Travel north on HWY 550 to Ouray.  Turn left on 7th Avenue and then right on Ouray CR 17.  Proceed down CR 17 to the USGS Gauge (there is a pedestrian bridge right by it and you can see HWY 550 from the site). Station is to your right, on Uncompahgre River.",264898,4213188,"13N","AQ Index <400 Feet
Heidi Luter intern study-same as Ouray HS 761 merged as 3586 Deleted Ouray HS 761.  3/18/16 - BS moved fr 264684.32/4213194.04 to put on water, and moved fr WBID COGUUN03A.","Yes","No"
"Below WWTP",3598,"San Miguel","DO0006","COGUSM03B","46878 - SAN MIGUEL R #4","Chemical",,"43N","9W","33","NWSW","H7","Telluride","Dolores","San Miguel","14030003","S Rockies Cool and Moist Forests of the Middle to",8635,"San Miguel Dolores Tribs",-107.8738,37.9487,"San Miguel","Colorado","Telluride","NAD83","Follow HWY 145 where it splits off headed for Rico and Dolores and take the first right into the waste water treatment plant.  Follow the dirt road and vear left down to the river, sample after where the water is put back into the river.",247489,4204016,"13N","3/16/16 - BS moved fr 247424/4203780 to put on water per Desc, and moved fr WBID COGUSM04A.
Aq. Index > 200m","Yes","No"
"A72",3611,"Animas","SJ0060","COSJAF04A","38009 - ANIMAS RIVER #3","Chemical",,"41N","7W","20","SWSW","G6","Silverton","San Juan","Animas, Florida","14080104","S Rockies High Elevation Tundra",9201,"Animas",-107.66756,37.78993,"San Juan","Colorado","Silverton","NAD83",,265107,4185860,"13N","The real A72. BS upd coord on 4/26/12.","Yes","No"
"Below Idaho Springs",3612,"Clear Cr","SP1157","COSPCL11","18976 - CLEAR CREEK #4C","Chemical",,"3S","72W","31","SWSW","F8","Idaho Springs","South Platte","Clear Creek","10190004","S Rockies Cool and Moist Forests of the Middle to",7474,"Clear Cr",-105.4983,39.7424,"Clear Creek","Colorado","Idaho Springs","NAD83",,457310,4399283,"13N","Used to be sta's 347, 340, and 371- changed to sta3612.  3/27/15 - BS moved fr 457329/4399053 to put on water.","Yes","No"
"West Fk At Mouth",3614,"W Fk Clear Cr","SP0970","COSPCL05","10582 - CLEAR CREEK, WEST FK","Chemical",,"3S","74W","27","SWNE","G6","Empire","South Platte","Clear Creek","10190004","S Rockies Cool and Moist Forests of the Middle to",8244,"Clear Cr",-105.6602,39.7588,"Clear Creek","Colorado","Idaho Spgs","NAD83",,443445,4401191,"13N","Used to be sta's 367 and 154 - changed to sta3614; Clear Cr Study","Yes","No"
"N Fk At Mouth",3620,"N Fk Clear Cr","SP0958","COSPCL13B","10568 - CLEAR CREEK, NORTH FK","Chemical",,"3S","72W","36","SWNE","F4","Squaw Pass","South Platte","Clear Creek","10190004","S Rockies Warm and Dry Forests of the Middle to Lo",6921,"Clear Cr",-105.3993,39.7481,"Gilpin","Colorado","Golden","NAD83",,465788,4399876,"13N","Clear Cr Study - used to be sta328 & 372 - changed to sta3620","Yes","No"
"Lawson Gauge",3628,"Clear Cr","SP1171","COSPCL02B","10532 - CLEAR CREEK #1","Chemical",,"3S","74W","25","NWNW","G6","Empire","South Platte","Clear Creek","10190004","S Rockies Cool and Moist Forests of the Middle to",8101,"Clear Cr",-105.6255,39.7659,"Clear Creek","Colorado","Idaho Spgs","NAD83",,446426,4401960,"13N","Used to be stations 368 and 2 - changed to sta3628","Yes","No"
"Test for Willow Cr",3675,"Willow Cr",,,,"Chemical",,,,,,,,"Rio Grande",,,,0,,-9,-9,"Mineral","Colorado","Creede","Nolatlongs",,-9,-9,"13N","Location unavailable - Unknown sample for Willow Cr field test Spring 05, location not appropriate","Yes","Yes"
"Blw Plainview",3701,"Coal Cr","SP7157","COSPBO06","10607 - COAL CREEK","Chemical, Physical",,"2S","71W","13","NESE","H3","Eldorado Springs","South Platte","Boulder Creek","10190005","W High Plains Rolling Sand Plains",6655,"Boulder and Saint Vrain Tribs",-105.276944,39.87768239,"Jefferson","Colorado","Arvada","NAD83",,476318,4414218,"13N",,"Yes","No"
"City of GJ Intake",3944,"Kannah Cr",,"COGULG04A","20800 - KANNAH CREEK","Biological, Chemical, Physical",,,,"33","SENE","H2","Indian Point","Gunnison","Lower Gunnison","14020005","CO Plateaus Wooded Uplands",6089,"Gunnison Tribs",-108.2299,38.9611,"Mesa","Colorado","Grand Junction","NAD83",,220130,4317428,"13N","New station Lori Martin 2010
","Yes","No"
"Las Animas",4008,"Arkansas","AR0209","COARLA01B","28966 - ARKANSAS R #2A","Sandy Substrate",,"23S","52W","3","NENE","A8","Hasty","Arkansas","Lower Arkansas","11020009","SW Tablelands Grasslands",3893,"Lower Arkansas",-103.2204,38.082,"Bent","Colorado","Las Animas","NAD83","From La Junta follow Route 50 east to Las Animas.  At the eastern end of Las Animas as route 50 turns north, there is a bridge that crosses the Arkansas with a USGS gauge on it.  A RR bridge is adjacent to the route 50 bridge. Sample location is approx 20 m above the RR bridge.",656075,4216403,"13N","TMDL station.  6/9/16 - BS moved fr 656080/4216202 to put on water, and moved fr WBID COARLA01C.","Yes","No"
"Abv Conf Navajo R",4044,"San Juan","SJ2883","COSJSJ06B","42907 - SAN JUAN RIVER #1","Biological, Chemical, Physical",,"32N","3W","10","SESE","A2","Pagosa Junction","San Juan","San Juan","14080101","S Rockies Low to Middle Elevation Semi-Desert Shru",6350,"San Juan",-107.1584,37.0255,"Archuleta","Colorado","Pagosa Springs","NAD83","At Mouth",308002,4099882,"13N","Aq. Index > 200m","Yes","No"
"Abv Conf Colorado R",4061,"Big Salt Wash","CR2096","COLCLC13B","23323 - SALT WASH, BIG","Sandy Substrate",,"1N","2W","18","NWNE","B6","Fruita","Colorado","Lower Colorado","14010005","CO Plateaus Saltdeserts",4480,"Lower Colorado (Palisade to state line)",-108.7504,39.1636,"Mesa","Colorado","Fruita","NAD83",,175945,4341630,"13N","Lori Martin Station; 2/24/14 - BS moved fr 4341550.79/176034.11 to put on H2O.
","Yes","No"
"Lewis Wash",4064,"Lewis Wash",,"COLCLC13B","20970 - LEWIS WASH","Sandy Substrate",,,,,,"A4","Clifton ","Colorado","Lower Colorado","14010005","CO Plateaus Saltdeserts",4632,"Lower Colorado (Palisade to state line)",-108.4786455,39.06067799,"Mesa","Colorado","Grand Junction","NAD83",,198997,4329272,"13N","Lori Martin Wash Studies, At rd. gage, downstream of D Rd.","Yes","No"
"W CR 38",4169,"Tomichi Cr",,"COGUUG18B","43632 - TOMICHI CREEK #1","Chemical",,,,"11","SWNE","E8","Gunnison","Gunnison","Upper Gunnison","14020003","S Rockies Cool and Moist Forests of the Middle to",7638,"Gunnison Tribs",-106.94045,38.52095,"Gunnison","Colorado","Gunnison","NAD83",,330839,4265402,"13N","Aq. Index NULL","Yes","No"
"Coller SWA",4170,"Rio Grande",,"CORGRG04A","42527 - RIO GRANDE R #2","Chemical",,"40N","3E","19","NWNW","F6","South Fork West","Rio Grande","Rio Grande","13010001","S Rockies Low to Middle Elevation Semi-Desert Shru",8253,"Rio Grande Tribs",-106.69069,37.70728,"Rio Grande","Colorado","South Fork","NAD83",,350968,4174683,"13N","8/23/16 - BS moved fr obsolete WBID CORGRG04.","Yes","No"
"Hwy 142",4171,"Rio Grande",,"CORGRG13","42515 - RIO GRANDE R #1","Chemical",,,,,,"B6","Mesito Reservoir","Rio Grande","Rio Grande","13010002","NM AZ Shrublands",7471,"Rio Grande Tribs",-105.73149,37.1833,"Conejos","Colorado","Manassa","NAD83",,435071,4115457,"13N",,"Yes","No"
"N Crestone Cr CG",4185,"N Crestone Cr",,"CORGCB03","39405 - CRESTONE CR, NORTH","Biological",,"44N","12E","31","SESW","A6","Rito Alto Peak","Rio Grande","Closed Basin San Luis Valley","13010003","S Rockies Warm and Dry Forests of the Middle to Lo",8253,"Rio Grande Tribs",-105.6952,38.0121,"Saguache","Colorado","Crestone","NAD83",,438970,4207387,"13N","38.01215, 105.69523 Nad 84.  8/18/16 -  BS moved fr WBID CORGCB14.","Yes","No"
"Abv Development",4187,"Spanish Cr",,"CORGCB03","39730 - SPANISH CREEK","Chemical, Physical",,,,,,"H6","Crestone","Rio Grande","Closed Basin San Luis Valley","13010003","S Rockies Low to Middle Elevation Semi-Desert Shru",8540,"Rio Grande Tribs",-105.6564,37.9528,"Saguache","Colorado","Crestone","NAD83",,442335,4200780,"13N","8/18/16 - BS moved fr WBID CORGCB04.","Yes","No"
"At Colorado Springs",5029,"Fountain Cr","AR0550","COARFO02A","32780 - FOUNTAIN CREEK #3","Sandy Substrate",,,,"19",,"G7","Colorado Springs","Arkansas","Fountain Creek","11020003","S Rockies Warm and Dry Forests of the Middle to Lo",5900,"Fountain Cr",-104.822522,38.816139,"El Paso","Colorado","Colorado Springs","NAD83","in Colorado Springs, travel south on Nevada, Fountain Creek goes under Nevada Avenue before I-25.Find a place to park in Grass near creek by I-25 off ramp. Site is near electrical tower east of Nevada Bridge. ",515407.81,4296388.6,"13N",,"Yes","No"
"At 31st St",5030,"Fountain Cr",,"COARFO01A","32792 - FOUNTAIN CREEK #4","Sandy Substrate",,"14S","67W","10","NENE","G7","Colorado Springs","Arkansas","Fountain Creek","11020003","SW Tablelands Grasslands",6111,"Fountain Cr",-104.8725,38.8522,"El Paso","Colorado","Colorado Springs","NAD83","in Colorado Springs, travel south on I-25, take the Colorado Ave exit and go west. Take the street to 31st and take a left. Park behind a car wash next to sonic by the creek, site is next to a USGS station. ",511063,4300385,"13N","6/7/16 - BS moved fr 510698/4300669 to put on water at 31st St, and moved fr WBID COARFO02A.","Yes","No"
"Monument at Woodman",5065,"Monument Cr","AR0166","COARFO06","32932 - MONUMENT CREEK #2","Biological, Chemical",,"13S","66W","7","SENE","G7","Colorado Springs","Arkansas","Fountain Creek","11020003","SW Tablelands Grasslands",6259,"Fountain Cr",-104.8166,38.9367,"El Paso","Colorado","Colorado Springs","NAD83","At USGS Guaging Sta, about 60 feet upstream of guage, about 0.1 mi upstream from Woodman Rd at C Springs. 0.2 mi W of I-25 and 0.5 mi upstream of Cottonwood Cr",515892.64,4309767.21,"13N","Aq. index > 200m","Yes","No"
"Hwy 63 Br",5123,"S Platte","SP0344","COSPLS01","12651 - SOUTH PLATTE R #12","Sandy Substrate",,,,"26","SESW","E3","Atwood ","South Platte","Lower South Platte","10190012","W High Plains Moderate Relief Rangeland",3980,"Lower S Platte (blw Brighton)",-103.265293,40.53798712,"Logan","Colorado","Atwood","NAD83","From Atwood take Hwy 6 W, L on Hwy 63, sample S Platte S of Br",646909,4488917,"13N","Written Directions said Br on Hwy 76W..river crosses Hwy 63 
Aq. Index > 200m","Yes","No"
